pm25,visibility,traffic,nox,action
8.7,10.0,25,1.2,0
33.6,8.0,28,13.2,0
12.1,10.0,39,32.9,0
1.6,10.0,41,0.4,0
12.5,9.0,37,10.1,0
42.4,7.0,27,0.3,0
7.7,10.0,23,0.4,0
22.6,10.0,22,4.6,0
5.2,10.0,43,3.0,0
7.1,10.0,44,5.2,0
28.1,10.0,29,0.9,0
26.9,10.0,15,67.9,0
0.7,23.0,37,0.1,0
1.4,10.0,24,0.0,0
2.3,8.0,39,11.0,0
4.2,10.0,42,13.4,0
6.8,10.0,35,0.1,0
21.5,10.0,36,27.4,0
42.4,10.0,36,45.2,0
3.3,10.0,29,1.5,0
1.4,10.0,36,1.7,0
30.2,10.0,25,56.2,0
2.9,10.0,24,4.3,0
5.0,10.0,23,37.4,0
3.6,10.0,23,1.1,0
1.2,10.0,39,0.6,0
1.2,10.0,40,0.1,0
3.8,10.0,49,0.8,0
1.6,9.0,43,0.4,0
13.8,8.0,48,2.6,0
1.8,5.0,45,1.6,0
27.1,10.0,11,14.2,0
12.1,10.0,37,0.4,0
2.7,10.0,48,1.9,0
2.0,10.0,40,0.2,0
1.9,10.0,41,0.6,0
19.0,10.0,39,30.2,0
1.7,10.0,44,2.0,0
1.6,10.0,42,2.5,0
0.5,10.0,44,0.6,0
4.1,10.0,46,0.1,0
23.0,10.0,13,12.2,0
21.1,10.0,39,94.6,0
23.8,10.0,16,0.1,0
0.5,10.0,30,2.8,0
3.0,9.0,41,17.3,0
17.6,10.0,9,0.9,0
1.4,10.0,35,0.1,0
3.7,10.0,25,5.2,0
1.1,10.0,46,2.1,0
7.0,10.0,18,5.9,0
5.0,10.0,30,0.8,0
1.3,10.0,24,0.5,0
150.8,10.0,38,61.7,1
0.6,10.0,37,0.2,0
3.6,10.0,28,0.9,0
2.2,8.0,49,0.0,0
2.2,10.0,41,1.0,0
5.3,10.0,26,0.6,0
1.4,10.0,23,5.9,0
7.5,0.4,71,10.5,1
0.5,10.0,35,0.0,0
6.2,10.0,31,0.7,0
1.7,10.0,25,1.2,0
31.8,10.0,21,0.2,0
2.3,10.0,37,14.7,0
7.8,16.0,44,4.6,0
21.1,10.0,33,18.7,0
2.3,10.0,39,45.9,0
3.9,10.0,39,0.2,0
4.9,10.0,30,11.3,0
219.1,10.0,39,116.5,1
29.2,10.0,20,2.5,0
8.0,10.0,21,2.5,0
7.6,10.0,17,3.1,0
8.3,9.0,33,9.4,0
18.7,10.0,28,12.2,0
11.7,10.0,21,23.3,0
0.5,9.0,29,0.5,0
20.8,10.0,44,9.7,0
1.8,10.0,38,0.5,0
2.3,10.0,33,3.0,0
0.5,10.0,16,2.1,0
0.5,10.0,31,1.0,0
1.6,6.0,39,5.5,0
1.0,10.0,46,2.6,0
15.9,10.0,35,3.8,0
19.5,10.0,37,0.4,0
20.0,10.0,39,11.5,0
2.3,10.0,50,1.0,0
4.2,10.0,27,10.1,0
1.2,10.0,43,10.5,0
9.9,8.0,37,0.4,0
2.6,10.0,37,2.3,0
15.8,10.0,39,1.2,0
5.7,10.0,27,1.0,0
10.5,10.0,27,1.1,0
19.6,10.0,10,45.2,0
0.5,10.0,35,0.1,0
2.1,10.0,45,6.5,0
7.6,10.0,34,3.9,0
23.7,10.0,12,0.9,0
5.0,10.0,55,1.6,0
0.5,10.0,26,0.3,0
3.4,10.0,33,0.1,0
30.6,10.0,33,17.1,0
4.3,7.0,24,1.7,0
3.2,24.0,36,4.3,0
0.5,10.0,26,0.1,0
32.1,2.5,15,0.6,1
220.0,10.0,26,56.2,1
221.9,10.0,31,111.0,1
3.7,10.0,39,1.1,0
1.8,10.0,46,0.5,0
16.8,7.0,25,15.1,0
50.5,10.0,29,45.2,0
1.9,10.0,31,4.6,0
2.3,9.0,35,5.4,0
7.1,10.0,42,0.8,0
3.0,8.0,49,8.7,0
16.8,7.0,25,15.1,0
5.5,10.0,30,3.0,0
11.5,10.0,39,1.8,0
1.2,10.0,31,0.3,0
14.2,10.0,30,11.3,0
42.2,9.0,26,70.6,0
6.0,10.0,22,9.5,0
12.0,10.0,37,6.8,0
0.9,10.0,41,0.0,0
15.4,10.0,30,1.1,0
6.1,10.0,23,3.5,0
14.9,10.0,19,3.4,0
27.5,10.0,29,5.4,0
1.8,10.0,42,2.7,0
12.9,10.0,26,13.5,0
1.4,10.0,24,5.2,0
43.9,10.0,40,24.3,0
34.2,10.0,29,0.6,0
0.6,10.0,42,0.5,0
2.8,10.0,27,8.8,0
8.4,10.0,38,2.6,0
14.3,10.0,26,20.9,0
3.2,10.0,45,0.6,0
26.2,10.0,33,14.9,0
11.6,8.0,39,1.2,0
15.3,8.0,30,0.2,0
1.4,9.0,44,8.1,0
15.3,9.0,38,3.1,0
6.3,10.0,21,10.2,0
2.4,10.0,31,2.1,0
5.6,10.0,40,9.6,0
0.5,10.0,45,0.1,0
49.7,3.5,10,24.7,1
798.5,5.0,31,241.3,1
4.4,10.0,18,80.2,0
7.7,10.0,17,11.5,0
11.9,10.0,36,3.6,0
4.7,10.0,33,22.6,0
6.3,10.0,21,10.2,0
2.7,10.0,44,2.6,0
36.8,10.0,33,106.9,0
5.4,5.0,28,14.4,0
9.1,10.0,39,27.8,0
135.7,10.0,40,59.6,1
0.5,9.0,39,0.0,0
70.3,14.0,10,260.5,0
2.9,10.0,33,30.5,0
14.8,2.0,41,7.6,1
10.0,10.0,29,7.6,0
6.6,8.0,33,1.1,0
12.1,10.0,18,6.2,0
0.7,10.0,37,0.2,0
5.6,9.0,35,5.7,0
0.9,10.0,34,0.6,0
6.8,10.0,21,9.8,0
0.9,4.5,53,5.6,1
6.5,10.0,37,3.1,0
0.8,10.0,27,0.5,0
94.3,10.0,37,50.7,1
1.9,10.0,50,0.0,0
2.0,10.0,19,0.4,0
7.5,10.0,16,9.5,0
3.5,24.0,41,0.0,0
13.7,10.0,43,0.2,0
3.3,10.0,39,1.8,0
75.1,9.7,21,123.4,1
0.5,9.7,41,0.1,0
5.7,10.0,28,2.0,0
1.6,10.0,40,1.8,0
5.4,10.0,26,7.6,0
31.1,10.0,35,2.4,0
13.4,10.0,28,4.3,0
2.1,10.0,37,0.3,0
13.6,10.0,16,1.0,0
24.9,10.0,20,3.0,0
54.9,7.0,21,21.1,0
8.5,8.0,47,16.5,0
1.3,10.0,54,0.1,0
26.3,10.0,37,13.0,0
50.7,7.0,19,1.2,0
3.6,10.0,25,1.8,0
39.7,10.0,39,19.5,0
11.6,10.0,27,5.4,0
3.7,10.0,15,6.2,0
54.5,10.0,18,6.9,0
29.6,10.0,16,94.6,0
2.0,24.0,37,0.1,0
0.5,10.0,21,0.0,0
2.5,9.0,33,6.0,0
5.0,10.0,42,4.9,0
0.7,10.0,28,0.1,0
10.7,10.0,40,5.4,0
19.3,10.0,33,23.0,0
3.0,10.0,29,2.8,0
1.0,10.0,35,1.5,0
39.4,10.0,20,46.6,0
5.3,10.0,28,6.1,0
2.9,10.0,28,29.8,0
3.6,10.0,28,2.2,0
1.4,10.0,46,0.6,0
3.0,10.0,53,0.1,0
2.8,10.0,50,0.2,0
0.5,10.0,43,0.4,0
8.6,10.0,31,2.1,0
2.0,10.0,35,3.3,0
29.1,10.0,16,16.1,0
8.0,10.0,37,0.5,0
5.6,10.0,37,2.7,0
2.2,10.0,37,0.3,0
8.5,7.0,37,1.5,0
15.4,10.0,37,25.7,0
3.9,6.0,46,9.1,0
1.9,10.0,32,1.2,0
0.8,10.0,38,0.5,0
4.6,10.0,47,0.2,0
45.9,10.0,12,24.0,0
22.9,10.0,35,83.6,0
22.1,10.0,10,0.1,0
0.6,10.0,23,7.6,0
1.8,10.0,41,6.3,0
18.9,10.0,11,1.3,0
0.8,10.0,48,0.1,0
5.0,10.0,22,15.9,0
1.1,10.0,28,4.9,0
9.8,10.0,19,13.2,0
5.4,10.0,28,2.3,0
1.9,10.0,25,0.9,0
0.5,10.0,34,0.3,0
3.6,10.0,42,1.0,0
1.7,10.0,42,0.1,0
1.9,10.0,44,0.7,0
8.4,10.0,21,3.3,0
5.8,10.0,23,33.2,0
5.7,10.0,33,3.4,0
0.5,10.0,37,0.0,0
10.9,10.0,37,2.6,0
4.7,10.0,30,15.9,0
43.5,10.0,24,0.5,0
2.5,10.0,20,19.4,0
0.5,16.0,19,1.2,0
3.1,10.0,35,2.1,0
60.2,10.0,25,144.0,0
3.3,10.0,47,0.2,0
6.0,10.0,37,14.7,0
38.2,10.0,43,35.3,0
23.3,10.0,27,2.2,0
14.5,10.0,22,7.4,0
19.7,10.0,19,14.4,0
7.5,10.0,20,6.2,0
25.8,10.0,30,1.2,0
6.7,10.0,31,5.2,0
0.5,10.0,26,0.3,0
44.1,10.0,37,6.2,0
1.3,10.0,38,0.4,0
10.5,10.0,40,35.6,0
0.5,10.0,12,1.3,0
4.7,10.0,37,3.0,0
0.8,10.0,30,10.4,0
11.9,10.0,33,3.6,0
29.6,9.0,37,1.1,0
46.3,10.0,38,12.5,0
2.1,10.0,45,1.0,0
2.2,10.0,28,2.8,0
3.3,10.0,34,5.1,0
9.0,9.0,40,0.2,0
1.9,10.0,35,1.8,0
9.2,9.0,40,0.6,0
2.4,10.0,36,1.7,0
6.4,10.0,18,1.2,0
12.5,10.0,7,14.1,0
0.5,9.0,36,0.6,0
4.0,10.0,39,5.5,0
9.2,10.0,19,1.0,0
37.3,10.0,12,0.5,0
5.1,10.0,30,0.5,0
0.5,9.0,34,0.1,0
3.1,10.0,46,0.1,0
10.0,9.0,32,5.6,0
0.5,8.0,25,0.3,0
4.4,19.0,40,3.7,0
0.5,10.0,26,0.0,0
30.8,6.0,9,0.2,0
554.7,5.0,32,131.6,1
171.7,10.0,37,91.9,1
9.0,10.0,28,0.6,0
2.2,10.0,51,0.2,0
4.8,7.0,27,1.0,0
11.4,10.0,37,7.6,0
4.4,10.0,20,2.1,0
6.3,9.0,37,7.3,0
13.4,10.0,41,0.4,0
1.9,10.0,40,2.4,0
4.8,7.0,27,1.0,0
4.2,10.0,28,2.4,0
8.3,10.0,32,0.9,0
1.7,10.0,20,0.4,0
7.7,10.0,37,8.5,0
28.7,10.0,35,54.8,0
31.2,10.0,14,2.5,0
46.6,10.0,30,9.7,0
0.5,10.0,39,0.1,0
21.0,10.0,30,0.3,0
7.2,10.0,22,2.3,0
5.3,10.0,32,0.4,0
10.0,10.0,30,0.5,0
0.7,10.0,39,1.1,0
10.3,10.0,18,12.3,0
1.9,10.0,37,4.3,0
5.6,10.0,39,3.6,0
13.6,10.0,14,0.3,0
0.5,10.0,30,0.5,0
1.3,10.0,31,4.7,0
4.4,10.0,36,1.6,0
22.4,10.0,26,10.1,0
2.6,10.0,42,0.7,0
98.4,10.0,29,17.1,1
12.9,10.0,35,1.3,0
12.5,8.0,14,0.1,0
1.2,10.0,39,3.3,0
7.3,9.0,37,3.7,0
10.3,10.0,24,7.3,0
7.0,10.0,30,6.0,0
4.5,10.0,25,2.0,0
0.5,10.0,32,0.1,0
32.5,4.0,12,8.4,1
278.2,6.0,36,127.5,1
1.9,10.0,25,20.9,0
7.1,10.0,18,2.8,0
2.9,10.0,40,2.1,0
13.1,10.0,16,5.9,0
10.3,10.0,24,7.3,0
2.9,10.0,43,3.3,0
62.5,10.0,37,90.5,0
23.2,4.0,20,3.2,1
3.9,10.0,35,8.9,0
40.0,10.0,28,9.9,0
1.0,10.0,42,0.0,0
15.4,14.0,16,3.9,0
1.9,10.0,37,2.3,0
17.9,10.0,41,8.9,0
4.1,10.0,26,2.7,0
9.8,8.0,32,0.5,0
13.2,10.0,20,0.9,0
1.0,10.0,38,0.1,0
5.4,10.0,30,2.2,0
